1,0.1210555556,+27.7080555555556,Magnitude: 13.65
Type: Elliptical galaxy
Constellation: Pisces;
502,1.3821388889,+9.04916666666667,Magnitude: 13.8
Type: Lenticular galaxy
Constellation: Pisces;
503,1.3912222222,+33.3316666666667,Magnitude: 15.1
Type: Elliptical galaxy
Constellation: Pisces;
504,1.3911111111,+33.2044444444444,Magnitude: 14
Type: Lenticular galaxy
Constellation: Pisces;
505,1.3825555556,+9.46888888888889,Magnitude: 15.1
Type: Lenticular galaxy
Constellation: Pisces;
506,1.4,+33.2333333333333,Magnitude: 14.9
Type: Star
Constellation: Pisces;
507,1.3944444444,+33.2561111111111,Magnitude: 13
Type: Lenticular galaxy
Constellation: Pisces;
508,1.3946111111,+33.2805555555556,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Pisces;
509,1.3900555556,+9.43361111111111,Magnitude: 14.7
Type: Lenticular galaxy
Constellation: Pisces;
510,1.4,+33.4333333333333,Magnitude: 
Type: Double star
Constellation: Pisces;
511,1.3918888889,+11.2908333333333,Magnitude: 15.4
Type: Elliptical galaxy
Constellation: Pisces;
512,1.3999722222,+33.9080555555556,Magnitude: 14
Type: Spiral galaxy
Constellation: Andromeda;
513,1.4074722222,+33.7991666666667,Magnitude: 13.4
Type: Spiral galaxy
Constellation: Andromeda;
514,1.4011111111,+12.9172222222222,Magnitude: 12.8
Type: Spiral galaxy
Constellation: Pisces;
515,1.4107222222,+33.4727777777778,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Pisces;
516,1.40225,+9.55166666666667,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Pisces;
517,1.4121944444,+33.4297222222222,Magnitude: 13.6
Type: Lenticular galaxy
Constellation: Pisces;
518,1.4049444444,+9.33083333333333,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Pisces;
519,1.4079722222,-1.64194444444444,Magnitude: 15.3
Type: Elliptical galaxy
Constellation: Cetus;
520,1.4098333333,+3.79027777777778,Magnitude: 12.4
Type: Interacting galaxies
Constellation: Pisces;
521,1.4093888889,+1.73138888888889,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Cetus;
522,1.41275,+9.99472222222222,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Pisces;
523,1.4224722222,+34.0247222222222,Magnitude: 13.5
Type: Irregular galaxy
Constellation: Andromeda;
524,1.41325,+9.53888888888889,Magnitude: 11.5
Type: Lenticular galaxy
Constellation: Pisces;
525,1.4147222222,+9.70305555555555,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Pisces;
526,1.3983888889,-35.0652777777778,Magnitude: 14.5
Type: Interacting galaxies
Constellation: Sculptor;
527,1.3995,-35.1141666666667,Magnitude: 13
Type: Spiral galaxy
Constellation: Sculptor;
528,1.426,+33.6711111111111,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Andromeda;
529,1.4278888889,+34.7127777777778,Magnitude: 13.1
Type: Elliptical galaxy
Constellation: Andromeda;
530,1.4116111111,-1.58777777777778,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
531,1.4386388889,+34.7538888888889,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Andromeda;
532,1.4214722222,+9.26416666666667,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Pisces;
533,1.4254166667,+1.75888888888889,Magnitude: 13.1
Type: Elliptical galaxy
Constellation: Cetus;
534,1.4124166667,-38.1291666666667,Magnitude: 14
Type: Lenticular galaxy
Constellation: Sculptor;
535,1.4253333333,-1.40888888888889,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Cetus;
536,1.4394166667,+34.7030555555556,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Andromeda;
537,1.4224722222,+34.0247222222222,Magnitude: 13.5
Type: Irregular galaxy
Constellation: Andromeda;
538,1.4239444444,-1.55111111111111,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Cetus;
539,1.4226944444,-18.1638888888889,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Cetus;
540,1.4524722222,-20.0366666666667,Magnitude: 
Type: Lenticular galaxy
Constellation: Cetus;
541,1.4289722222,-1.37972222222222,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Cetus;
542,1.4419166667,+34.6755555555556,Magnitude: 15.4
Type: Spiral galaxy
Constellation: Andromeda;
543,1.4305555556,-1.29277777777778,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
544,1.42,-38.0938888888889,Magnitude: 15.1
Type: Lenticular galaxy
Constellation: Sculptor;
545,1.4331111111,-1.34027777777778,Magnitude: 14.4
Type: Lenticular galaxy
Constellation: Cetus;
546,1.4202222222,-38.0697222222222,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Sculptor;
547,1.4335555556,-1.34527777777778,Magnitude: 14.4
Type: Elliptical galaxy
Constellation: Cetus;
548,1.4340555556,-1.22583333333333,Magnitude: 15.1
Type: Elliptical galaxy
Constellation: Cetus;
549,1.4245277778,-38.2675,Magnitude: 13
Type: Spiral galaxy
Constellation: Sculptor;
550,1.4451666667,+2.02222222222222,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Cetus;
551,1.4613333333,+37.1827777777778,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Andromeda;
552,1.4666666667,+33.4666666666667,Magnitude: 
Type: (Identification uncertain)
Constellation: Pisces;
553,1.4368333333,+33.405,Magnitude: 
Type: Lenticular galaxy
Constellation: Pisces;
554,1.4526666667,-22.7252777777778,Magnitude: 
Type: Interacting galaxies
Constellation: Cetus;
555,1.4532777778,-22.7622222222222,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
556,1.4535,-22.6977777777778,Magnitude: 
Type: Lenticular galaxy
Constellation: Cetus;
557,1.4403333333,-1.63916666666667,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Cetus;
558,1.4545,-1.97083333333333,Magnitude: 15
Type: Elliptical galaxy
Constellation: Cetus;
559,1.4893333333,+63.28,Magnitude: 9.9
Type: Open cluster
Constellation: Cassiopeia;
560,1.4570555556,-1.91361111111111,Magnitude: 14
Type: lenticular galaxy
Constellation: Cetus;
561,1.4719166667,+34.3083333333333,Magnitude: 14.1
Type: Spiral galaxy
Constellation: Andromeda;
562,1.4748333333,+48.3869444444444,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Andromeda;
563,1.4528055556,-18.6533333333333,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Cetus;
564,1.4634166667,-1.88,Magnitude: 13.8
Type: Elliptical galaxy
Constellation: Cetus;
565,1.4695,-1.30611111111111,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Cetus;
566,1.4841944444,+32.3322222222222,Magnitude: 14.6
Type: Lenticular galaxy
Constellation: Pisces;
567,1.4506666667,-10.2652777777778,Magnitude: 14
Type: Galaxy
Constellation: Cetus;
568,1.4657777778,-35.7166666666667,Magnitude: 12.5
Type: Lenticular galaxy
Constellation: Sculptor;
569,1.4853611111,+11.1308333333333,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Pisces;
570,1.4829722222,-0.949166666666667,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Cetus;
571,1.4989444444,+32.5008333333333,Magnitude: 15
Type: Spiral galaxy
Constellation: Pisces;
572,1.4768055556,-39.3075,Magnitude: 15.5
Type: Lenticular galaxy
Constellation: Sculptor;
573,1.5137222222,+41.2572222222222,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Andromeda;
574,1.4841666667,-35.5988888888889,Magnitude: 14
Type: Spiral galaxy
Constellation: Sculptor;
575,1.5129722222,+21.4402777777778,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Pisces;
576,1.4826111111,-51.5988888888889,Magnitude: 
Type: Spiral galaxy
Constellation: Phoenix;
577,1.5113333333,-1.99472222222222,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Cetus;
578,1.5079722222,-22.6669444444444,Magnitude: 11.5
Type: Spiral galaxy
Constellation: Cetus;
579,1.5296388889,+33.6155555555556,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Triangulum;
580,1.5113333333,-1.99472222222222,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Cetus;
581,1.55,+60.65,Magnitude: 7.7
Type: Open cluster
Constellation: Cassiopeia;
582,1.5328055556,+33.4761111111111,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Triangulum;
583,1.4956111111,-18.3394444444444,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
584,1.5224166667,-6.86833333333333,Magnitude: 12
Type: Elliptical galaxy
Constellation: Cetus;
585,1.5283611111,-0.933055555555555,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Cetus;
586,1.5269166667,-6.89388888888889,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
587,1.5426388889,+35.3583333333333,Magnitude: 13.7
Type: Spiral galaxy
Constellation: Triangulum;
588,1.5458888889,+30.6483333333333,Magnitude: 11.5
Type: Diffuse nebula
Constellation: Triangulum;
589,1.5444166667,-12.0427777777778,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
590,1.5614166667,+44.9288888888889,Magnitude: 14.2
Type: Spiral galaxy
Constellation: Andromeda;
591,1.5586944444,+35.6680555555556,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Andromeda;
592,1.5500277778,+30.5769444444444,Magnitude: 13
Type: Diffuse nebula
Constellation: Triangulum;
593,1.5391111111,-12.3547222222222,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
594,1.5491111111,-16.5361111111111,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Cetus;
595,1.5598611111,+30.6977777777778,Magnitude: 13.1
Type: Diffuse nebula
Constellation: Triangulum;
596,1.5478055556,-7.03194444444444,Magnitude: 11.5
Type: Elliptical galaxy
Constellation: Cetus;
597,1.5374444444,-33.4975,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Sculptor;
598,1.5641666667,+30.6602777777778,Magnitude: 6.3
Type: Spiral galaxy
Constellation: Triangulum;
599,1.5482777778,-12.1913888888889,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Cetus;
600,1.5515,-7.31138888888889,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Cetus;
601,1.5482777778,-12.1913888888889,Magnitude: 13
Type: Galaxy
Constellation: Cetus;
602,1.5,-73.5666666666667,Magnitude: 
Type: Open cluster
Constellation: Hydrus;
603,1.5788888889,+30.2333333333333,Magnitude: 14
Type: Triple star
Constellation: Triangulum;
604,1.5758888889,+30.785,Magnitude: 11.5
Type: Diffuse nebula
Constellation: Triangulum;
605,1.5840277778,+41.2480555555556,Magnitude: 14.3
Type: Lenticular galaxy
Constellation: Andromeda;
606,1.5806111111,+21.4180555555556,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Pisces;
607,1.5666666667,-7.41666666666667,Magnitude: 
Type: Triple star
Constellation: Cetus;
608,1.5911944444,+33.6563888888889,Magnitude: 14
Type: Spiral galaxy
Constellation: Triangulum;
609,1.6069166667,+64.5366666666667,Magnitude: 12.3
Type: Open cluster
Constellation: Cassiopeia;
610,1.5666666667,-20.15,Magnitude: 
Type: Unknown
Constellation: Cetus;
611,1.5666666667,-20.1333333333333,Magnitude: 
Type: Unknown
Constellation: Cetus;
612,1.5660277778,-36.4930555555556,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Sculptor;
613,1.5717222222,-29.4183333333333,Magnitude: 10.8
Type: Spiral galaxy
Constellation: Sculptor;
614,1.5978611111,+33.6816666666667,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Triangulum;
615,1.5849166667,-7.34083333333333,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
616,1.6,+33.7666666666667,Magnitude: 
Type: Double star
Constellation: Triangulum;
617,1.5674166667,-9.77444444444445,Magnitude: 15.2
Type: Galaxy
Constellation: Cetus;
618,1.5978611111,+33.6816666666667,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Triangulum;
619,1.5810277778,-36.4891666666667,Magnitude: 14
Type: Spiral galaxy
Constellation: Sculptor;
620,1.6166666667,+42.3222222222222,Magnitude: 13.9
Type: Irregular galaxy
Constellation: Andromeda;
621,1.6136666667,+35.5119444444444,Magnitude: 14.2
Type: Lenticular galaxy
Constellation: Triangulum;
622,1.6000277778,+0.663611111111111,Magnitude: 14.1
Type: Spiral galaxy
Constellation: Cetus;
623,1.5850833333,-36.4897222222222,Magnitude: 13.5
Type: Elliptical galaxy
Constellation: Sculptor;
624,1.5975,-10.0027777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
625,1.5846388889,-41.4372222222222,Magnitude: 12.2
Type: Irregular galaxy
Constellation: Phoenix;
626,1.5866666667,-39.1447222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Sculptor;
627,1.5978611111,+33.6816666666667,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Triangulum;
628,1.6116111111,+15.7833333333333,Magnitude: 10.5
Type: Spiral galaxy
Constellation: Pisces;
629,1.6666666667,+72.8833333333333,Magnitude: 
Type: Asterism
Constellation: Cassiopeia;
630,1.5934722222,-39.3577777777778,Magnitude: 13.5
Type: Elliptical galaxy
Constellation: Sculptor;
631,1.6130833333,+5.835,Magnitude: 15
Type: Elliptical galaxy
Constellation: Pisces;
632,1.6215833333,+5.87722222222222,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Pisces;
633,1.6065277778,-37.3211111111111,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Sculptor;
634,1.6385277778,+35.3647222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Triangulum;
635,1.6382777778,-22.9288888888889,Magnitude: 
Type: Spiral galaxy
Constellation: Cetus;
636,1.6518055556,-7.51277777777778,Magnitude: 12.5
Type: Elliptical galaxy
Constellation: Cetus;
637,1.7166666667,+64.0333333333333,Magnitude: 8.6
Type: Open cluster
Constellation: Cassiopeia;
638,1.6605277778,+7.23722222222222,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Pisces;
639,1.64975,-29.9252777777778,Magnitude: 15.4
Type: Spiral galaxy
Constellation: Sculptor;
640,1.6568888889,-9.40083333333333,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
641,1.6442222222,-42.5269444444445,Magnitude: 13
Type: Elliptical galaxy
Constellation: Phoenix;
642,1.6518055556,-29.9155555555556,Magnitude: 13.1
Type: Spiral galaxy
Constellation: Sculptor;
643,1.5836388889,-75.5572222222222,Magnitude: 
Type: Open cluster
Constellation: Hydrus;
644,1.6480277778,-42.5852777777778,Magnitude: 15
Type: Spiral galaxy
Constellation: Phoenix;
645,1.6691111111,+5.72666666666667,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Pisces;
646,1.6232222222,-64.8958333333333,Magnitude: 13.6
Type: Interacting galaxies
Constellation: Hydrus;
647,1.6656111111,-9.2425,Magnitude: 15
Type: Lenticular galaxy
Constellation: Cetus;
648,1.6443333333,-17.8311111111111,Magnitude: 14.4
Type: Lenticular galaxy
Constellation: Cetus;
649,1.6687222222,-9.27194444444445,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Cetus;
650,1.7055277778,+51.5752777777778,Magnitude: 16.1
Type: Planetary nebula
Constellation: Perseus;
651,1.7055277778,+51.5752777777778,Magnitude: 16.1
Type: Planetary nebula
Constellation: Perseus;
652,1.6786944444,+7.98194444444444,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Pisces;
653,1.7071944444,+35.6383333333333,Magnitude: 14.1
Type: Spiral galaxy
Constellation: Andromeda;
654,1.7333333333,+61.8833333333333,Magnitude: 7.4
Type: Open cluster
Constellation: Cassiopeia;
655,1.6986388889,-13.0816666666667,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
656,1.7076111111,+26.1427777777778,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Pisces;
657,1.7333333333,+55.8666666666667,Magnitude: 
Type: Open cluster
Constellation: Cassiopeia;
658,1.7027222222,+12.6019444444444,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Pisces;
659,1.7333333333,+60.6666666666667,Magnitude: 8.4
Type: Open cluster
Constellation: Cassiopeia;
660,1.7171388889,+13.6433333333333,Magnitude: 12.8
Type: Spiral galaxy
Constellation: Pisces;
661,1.7373888889,+28.7058333333333,Magnitude: 13
Type: Elliptical galaxy
Constellation: Triangulum;
662,1.7432222222,+37.6958333333333,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Andromeda;
663,1.7666666667,+61.2333333333333,Magnitude: 7.8
Type: Open cluster
Constellation: Cassiopeia;
664,1.7294166667,+4.22277777777778,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Pisces;
665,1.7489444444,+10.4230555555556,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Pisces;
666,1.7684166667,+34.3741666666667,Magnitude: 13.6
Type: Spiral galaxy
Constellation: Triangulum;
667,1.7490833333,-22.9191666666667,Magnitude: 
Type: Lenticular galaxy
Constellation: Cetus;
668,1.7729722222,+36.46,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Andromeda;
669,1.7878888889,+35.5627777777778,Magnitude: 12.9
Type: Spiral galaxy
Constellation: Triangulum;
670,1.7903055556,+27.8858333333333,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Triangulum;
671,1.7831111111,+13.125,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Aries;
672,1.7983611111,+27.4322222222222,Magnitude: 11.4
Type: Spiral galaxy
Constellation: Triangulum;
673,1.8062777778,+11.5211111111111,Magnitude: 13.3
Type: Spiral galaxy
Constellation: Aries;
674,1.8548888889,+22.3577777777778,Magnitude: 12.7
Type: Spiral galaxy
Constellation: Aries;
675,1.8190555556,+13.0594444444444,Magnitude: 15.5
Type: Spiral galaxy
Constellation: Aries;
676,1.8159444444,+5.90722222222222,Magnitude: 12
Type: Spiral galaxy
Constellation: Pisces;
677,1.8205833333,+13.0552777777778,Magnitude: 14.3
Type: Elliptical galaxy
Constellation: Aries;
678,1.8235833333,+21.9966666666667,Magnitude: 13.3
Type: Spiral galaxy
Constellation: Aries;
679,1.8288611111,+35.7852777777778,Magnitude: 13.1
Type: Lenticular galaxy
Constellation: Andromeda;
680,1.8298333333,+21.9705555555555,Magnitude: 13
Type: Elliptical galaxy
Constellation: Aries;
681,1.8196388889,-10.4263888888889,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
682,1.8179166667,-14.9747222222222,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
683,1.8296666667,+11.7008333333333,Magnitude: 14.8
Type: Spiral galaxy
Constellation: Aries;
684,1.8372222222,+27.6458333333333,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Triangulum;
685,1.7953055556,-52.7611111111111,Magnitude: 12
Type: Spiral galaxy
Constellation: Eridanus;
686,1.8156388889,-23.7986111111111,Magnitude: 13
Type: Lenticular galaxy
Constellation: Fornax;
687,1.8425833333,+36.3705555555556,Magnitude: 14.4
Type: Lenticular galaxy
Constellation: Andromeda;
688,1.8456388889,+35.2841666666667,Magnitude: 13.3
Type: Spiral galaxy
Constellation: Triangulum;
689,1.8310555556,-27.4655555555556,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Fornax;
690,1.7967222222,-16.7219444444444,Magnitude: 14.4
Type: Spiral galaxy
Constellation: Cetus;
691,1.8449166667,+21.7594444444444,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Aries;
692,1.8116666667,-48.6491666666667,Magnitude: 
Type: Spiral galaxy
Constellation: Phoenix;
693,1.8419166667,+6.14472222222222,Magnitude: 13.5
Type: Spiral galaxy
Constellation: Pisces;
694,1.8496111111,+21.9966666666667,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Aries;
695,1.854,+22.5822222222222,Magnitude: 13.7
Type: Lenticular galaxy
Constellation: Aries;
696,1.82525,-34.9061111111111,Magnitude: 13.5
Type: Lenticular galaxy
Constellation: Fornax;
697,1.8548888889,+22.3577777777778,Magnitude: 12.7
Type: Spiral galaxy
Constellation: Aries;
698,1.8288333333,-34.8311111111111,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Fornax;
699,1.8454722222,-12.0358333333333,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
700,1.8702222222,+36.0969444444444,Magnitude: 15.6
Type: Lenticular galaxy
Constellation: Andromeda;
701,1.8510555556,-9.70222222222222,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
702,1.8550833333,-4.05583333333333,Magnitude: 14
Type: Interacting galaxies
Constellation: Cetus;
703,1.8776944444,+36.1711111111111,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Andromeda;
704,1.8771388889,+36.1269444444444,Magnitude: 14.1
Type: Interacting galaxies
Constellation: Andromeda;
705,1.87825,+36.1438888888889,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Andromeda;
706,1.8640555556,+6.29638888888889,Magnitude: 13.2
Type: Spiral galaxy
Constellation: Pisces;
707,1.8575555556,-8.50583333333333,Magnitude: 14
Type: Lenticular galaxy
Constellation: Cetus;
708,1.8776944444,+36.1711111111111,Magnitude: 14.5
Type: Elliptical galaxy
Constellation: Andromeda;
709,1.8807222222,+36.2225,Magnitude: 15.2
Type: Lenticular galaxy
Constellation: Andromeda;
710,1.8816944444,+36.0533333333333,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Andromeda;
711,1.8743888889,+17.5122222222222,Magnitude: 14.5
Type: Lenticular galaxy
Constellation: Aries;
712,1.8857222222,+36.8194444444444,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Andromeda;
713,1.9226388889,-9.08388888888889,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Cetus;
714,1.8916111111,+36.2208333333333,Magnitude: 13.9
Type: Lenticular galaxy
Constellation: Andromeda;
715,1.8867777778,-12.8738888888889,Magnitude: 15
Type: Galaxy
Constellation: Cetus;
716,1.88325,+12.7077777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Aries;
717,1.8986666667,+36.2291666666667,Magnitude: 14.7
Type: Spiral galaxy
Constellation: Andromeda;
718,1.887,+4.19555555555556,Magnitude: 12.8
Type: Spiral galaxy
Constellation: Pisces;
719,1.8941666667,+19.8402777777778,Magnitude: 14.7
Type: Lenticular galaxy
Constellation: Aries;
720,1.8834444444,-13.7383333333333,Magnitude: 11
Type: Elliptical galaxy
Constellation: Cetus;
721,1.9126666667,+39.3830555555556,Magnitude: 13.8
Type: Spiral galaxy
Constellation: Andromeda;
722,1.9130555556,+20.6980555555556,Magnitude: 14.6
Type: Spiral galaxy
Constellation: Aries;
723,1.896,-23.7577777777778,Magnitude: 13.1
Type: Spiral galaxy
Constellation: Cetus;
724,1.896,-23.7577777777778,Magnitude: 13.1
Type: Spiral galaxy
Constellation: Fornax;
725,1.8765277778,-16.5177777777778,Magnitude: 14.3
Type: Spiral galaxy
Constellation: Cetus;
726,1.9255277778,-10.8011111111111,Magnitude: 14.3
Type: Irregular galaxy
Constellation: Cetus;
727,1.897,-35.8561111111111,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Fornax;
728,1.9166666667,+4.2,Magnitude: 
Type: Triple star
Constellation: Pisces;
729,1.897,-35.8561111111111,Magnitude: 14.5
Type: Spiral galaxy
Constellation: Fornax;
730,1.9166666667,+5.61666666666667,Magnitude: 
Type: Star
Constellation: Pisces;
731,1.9158055556,-9.01305555555556,Magnitude: 13
Type: Elliptical galaxy
Constellation: Cetus;
732,1.9410555556,+36.8019444444444,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Andromeda;
733,1.9401944444,+33.0652777777778,Magnitude: 
Type: Star
Constellation: Triangulum;
734,1.9081944444,-16.7077777777778,Magnitude: 15
Type: Spiral galaxy
Constellation: Cetus;
735,1.9438888889,+34.1769444444444,Magnitude: 13.9
Type: Spiral galaxy
Constellation: Triangulum;
736,1.9447222222,+33.0436111111111,Magnitude: 13.6
Type: Elliptical galaxy
Constellation: Triangulum;
737,1.95,+33.05,Magnitude: 
Type: Star
Constellation: Triangulum;
738,1.9460277778,+33.0583333333333,Magnitude: 15.5
Type: Galaxy
Constellation: Triangulum;
739,1.9485277778,+33.2666666666667,Magnitude: 14.8
Type: Lenticular galaxy
Constellation: Triangulum;
740,1.9486388889,+33.0152777777778,Magnitude: 14.9
Type: Spiral galaxy
Constellation: Triangulum;
741,1.9391944444,+5.62861111111111,Magnitude: 13.2
Type: Elliptical galaxy
Constellation: Pisces;
742,1.9400555556,+5.62666666666667,Magnitude: 14.8
Type: Elliptical galaxy
Constellation: Pisces;
743,1.9833333333,+60.1833333333333,Magnitude: 
Type: Open cluster
Constellation: Cassiopeia;
744,1.9833333333,+55.4666666666667,Magnitude: 8.4
Type: Open cluster
Constellation: Perseus;
745,1.9024166667,-56.6908333333333,Magnitude: 14
Type: Interacting galaxies
Constellation: Eridanus;
746,1.9641666667,+44.9180555555556,Magnitude: 13.8
Type: Irregular galaxy
Constellation: Andromeda;
747,1.9584444444,-9.46222222222222,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
748,1.9396666667,-4.4675,Magnitude: 12
Type: Spiral galaxy
Constellation: Cetus;
